START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,13,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,13,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,13,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,13,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,14,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,14,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,14,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,14,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,15,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,15,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,15,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,15,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,16,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,16,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,16,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,16,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,17,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,17,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,17,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,37,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,37,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,37,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,37,50,Indigo,43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,38,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,38,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,38,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,38,50,Indigo,43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,39,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,39,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,39,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,39,50,Indigo,43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,40,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,40,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,40,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,40,50,Indigo,43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,41,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,41,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,41,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,41,50,Indigo,43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,42,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,42,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,42,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
